name	mean_pH
C4_S6_37_2	8.41
C5_S34_402_2	5.96
C6_S10_0_362	6.53
C6_S10_24_23	6.66
C6_S10_273_2	6.66
C6_S10_368_2	6.66
C6_S11_92_4	8.06
C6_S26_504_2	6.91
C7_S10_105_3	6.67
C7_S10_195_2	4.39
C8_S10_102_4	6.68
C8_S10_12_13	6.66
C8_S10_139_2	6.2
C8_S10_146_3	5.72
C8_S10_209_3	6.66
C8_S10_301_2	4.5
C8_S19_111_4	6.62
C8_S20_166_4	6.48
C8_S20_356_2	5.9
C8_S20_453_2	6.4
C8_S20_555_2	6.4
C8_S23_141_2	5.21
C8_S23_396_2	5.69
C8_S23_546_2	6.18
C8_S30_204_2	6.77
C8_S38_240_2	6.68
C8_S38_307_2	6.68
C8_S4_199_2	4.83
C8_S45_463_2	7
C9_S14_116_2	8.31
C9_S27_1075_2	8.04
C9_S27_300_3	8.04
C9_S37_101_3	8.46
C9_S37_115_3	8.46
C9_S37_174_4	8.47
C9_S37_248_3	8.46
C9_S37_255_2	8.46
C9_S37_274_2	8.46
C9_S37_45_4	8.46
C9_S37_61_4	8.46
C9_S7_213_2	8.52
