species	mass
Geogale_aurita	6.7
Hemicentetes_semispinosus	149.6
Limnogale_mergulus	79.5
Microgale_dobsoni	37.8
Microgale_talazaci	48.1
Micropotamogale_lamottei	69.6
Potamogale_velox	761.7
Setifer_setosus	259.45
Tenrec_ecaudatus	884
Brachylagus_idahoensis	421.33
Bunolagus_monticularis	1250
Caprolagus_hispidus	2500
Lepus_nigricollis	2099.5
Lepus_callotis	1820
Lepus_insularis	-999
Lepus_tolai	2110
Lepus_othus	4506.33
Lepus_arcticus	3766
Lepus_timidus	3030.43
Lepus_americanus	1489.25
Lepus_townsendii	3035.5
Lepus_capensis	2358
Lepus_alleni	3759.67
Lepus_californicus	2317
Lepus_europaeus	3673.33
Lepus_saxatilis	2686
Oryctolagus_cuniculus	1558.25
Poelagus_marjorita	2500
Pronolagus_randensis	2470
Pronolagus_crassicaudatus	1945
Pronolagus_rupestris	1700
Romerolagus_diazi	494.5
Sylvilagus_brasiliensis	950
Sylvilagus_palustris	1233
Sylvilagus_transitionalis	902.6
Sylvilagus_aquaticus	2120.67
Sylvilagus_bachmani	707.67
Sylvilagus_nuttallii	759.96
Sylvilagus_floridanus	1269
Sylvilagus_audubonii	909.38
Ochotona_macrotis	167
Ochotona_curzoniae	-999
Ochotona_collaris	129
Ochotona_roylei	115
Ochotona_dauurica	128
Ochotona_alpina	-999
Ochotona_princeps	140.2
Ochotona_rutila	-999
Ochotona_pallasi	-999
Ochotona_pusilla	-999
Ochotona_rufescens	250
Elephantulus_rupestris	60
Elephantulus_fuscus	-999
Elephantulus_intufi	51.95
Elephantulus_myurus	51.94
Elephantulus_rozeti	48
Elephantulus_rufescens	58
Elephantulus_brachyrhynchus	44.33
Macroscelides_proboscideus	40
Petrodromus_tetradactylus	220
Rhynchocyon_chrysopygus	540
Equus_asinus	250000
Equus_kiang	275000
Equus_grevyi	384000
Equus_zebra	296000
Equus_burchellii	257000
Equus_hemionus	230000
Ceratotherium_simum	2233333.33
Dicerorhinus_sumatrensis	1266666.67
Diceros_bicornis	927766.67
Rhinoceros_unicornis	1602333.33
Rhinoceros_sondaicus	1750000
Tapirus_pinchaque	148950
Tapirus_terrestris	200000
Tapirus_indicus	296250
Tapirus_bairdii	300000
Manis_gigantea	33000
Manis_javanica	5150
Manis_pentadactyla	2350
Manis_tricuspis	1480
Manis_crassicaudata	3900
Manis_tetradactyla	2750
Manis_temminckii	7230
Callimico_goeldii	558.33
Callithrix_humeralifer	343.33
Callithrix_argentata	357.25
Callithrix_pygmaea	116.83
Callithrix_penicillata	307
Callithrix_flaviceps	406
Callithrix_jacchus	309
Leontopithecus_rosalia	558
Saguinus_leucopus	490
Saguinus_imperator	445.8
Saguinus_bicolor	465
Saguinus_nigricollis	411
Saguinus_mystax	526.13
Saguinus_geoffroyi	499.33
Saguinus_fuscicollis	370
Saguinus_oedipus	401
Saguinus_labiatus	501.33
Saguinus_midas	466.75
Alouatta_pigra	11600
Alouatta_seniculus	5555.29
Alouatta_palliata	5659.14
Alouatta_caraya	5353
Aotus_trivirgatus	833.56
Aotus_lemurinus	874
Aotus_azarai	1230
Ateles_belzebuth	5400
Ateles_geoffroyi	6265.8
Ateles_paniscus	7758.8
Ateles_fusciceps	7761.8
Brachyteles_arachnoides	11142.5
Cacajao_calvus	4092
Callicebus_torquatus	1050
Callicebus_cupreus	1120
Callicebus_moloch	850
Cebus_olivaceus	2410
Cebus_capucinus	2602.57
Cebus_apella	2528.5
Cebus_albifrons	2539.07
Chiropotes_albinasus	2900
Chiropotes_satanas	2750
Lagothrix_lagotricha	6076.25
Pithecia_monachus	1926.67
Pithecia_pithecia	1377.2
Saimiri_oerstedi	580
Saimiri_sciureus	607.8
Allenopithecus_nigroviridis	3301.67
Cercocebus_galeritus	5425.75
Cercocebus_torquatus	7036.67
Cercopithecus_wolfi	2870
Cercopithecus_lhoesti	4700
Cercopithecus_mona	3833.33
Cercopithecus_nictitans	4225.33
Cercopithecus_erythrotis	-999
Cercopithecus_cephus	2866.25
Cercopithecus_pogonias	2973.67
Cercopithecus_ascanius	3392.6
Cercopithecus_campbelli	3150
Cercopithecus_mitis	5685.71
Cercopithecus_solatus	3920
Cercopithecus_neglectus	4670.17
Cercopithecus_diana	4216.5
Chlorocebus_aethiops	3732.64
Colobus_angolensis	9000
Colobus_satanas	9500
Colobus_polykomos	8508
Colobus_guereza	9725.17
Erythrocebus_patas	5883.4
Lophocebus_albigena	6725.8
Macaca_thibetana	10036.67
Macaca_fuscata	8857.5
Macaca_maura	5575
Macaca_sylvanus	9752.6
Macaca_arctoides	7307.67
Macaca_nigra	6211.67
Macaca_sinica	3495
Macaca_silenus	4875
Macaca_mulatta	5413.4
Macaca_cyclopis	6316.67
Macaca_nemestrina	6133.1
Macaca_fascicularis	3456.29
Macaca_radiata	3735
