name	mean_pH	stdev	nb_sequences
C14_S15_111_2	4.32	0	6
C14_S15_13_7	4.74	0	116
C14_S15_135_2	4.32	0	2
C14_S15_139_2	4.32	0	6
C14_S15_152_2	4.32	0	11
C14_S15_159_2	4.32	0	8
C14_S15_23_3	6.31	0	21
C14_S15_42_3	4.32	0	3
C14_S15_50_2	4.89	0	15
C14_S15_61_2	4.32	0	4
C14_S15_86_2	4.32	0	2
C14_S15_88_2	4.71	0	655
C14_S15_90_2	5.43	0	46
C14_S15_97_2	4.74	0	106
C14_S16_100_2	3.56	0	698
C14_S16_109_2	3.63	0	45
C14_S16_13_6	4.33	0	13
C14_S17_123_2	4.01	0	42
C14_S17_14_12	3.98	0	35
C14_S19_495_3	5.11	0	1711
C14_S2_146_2	5	0	16
C14_S2_174_2	5.1	0	50
C14_S2_286_2	5	0	2
C14_S2_79_3	5	0	3
C14_S24_101_2	5.35	0	178
C14_S24_106_2	5.07	0	129
C14_S24_109_2	6.14	0	144
C14_S24_18_7	6.22	0	161
C14_S24_19_14	6.19	0	45
C14_S24_27_7	5.16	0	78
C14_S24_42_5	6.06	0	95
C14_S24_59_2	5.05	0	36
C14_S24_62_2	5.02	0	68
C14_S24_72_2	6.83	0	2
C14_S24_92_2	6.83	0	2
C14_S24_94_2	5.46	0	8
C14_S25_230_3	6.75	0	3
C14_S25_649_3	6.29	0	13
C14_S29_101_4	3.69	0	821
C14_S32_497_2	3.55	0	71
C14_S32_561_2	3.48	0	2
C14_S32_597_2	3.48	0	2
C14_S33_12_5	5.16	0	5
C14_S33_14_4	4.77	0	42
C14_S34_407_2	5.96	0	2
C14_S35_660_2	5.84	0	18
C14_S36_10_54	5.55	0	455
C14_S36_110_3	5.55	0	113
C14_S36_112_3	5.55	0	112
C14_S36_116_3	5.55	0	36
C14_S36_120_3	5.55	0	6
C14_S36_130_5	5.55	0	5
C14_S36_133_7	5.55	0	167
C14_S36_137_4	5.55	0	33
C14_S36_144_3	5.55	0	36
C14_S36_20_37	5.55	0	62
C14_S36_217_6	5.55	0	8
C14_S36_220_2	5.55	0	2
C14_S36_223_6	5.55	0	6
C14_S36_225_3	5.55	0	24
C14_S36_245_2	5.55	0	85
C14_S36_251_3	5.55	0	442
C14_S36_271_4	5.55	0	4
C14_S36_272_2	5.55	0	8
C14_S36_309_2	5.55	0	2
C14_S36_323_2	5.55	0	2
C14_S36_377_2	5.55	0	2
C14_S36_440_2	5.55	0	251
C14_S36_445_2	5.55	0	6
C14_S36_470_2	5.55	0	2
C14_S36_578_2	5.55	0	2
C14_S36_67_7	5.55	0	7
C14_S39_122_2	4.7	0	59
C14_S39_204_2	4.7	0	2
C14_S39_231_2	4.7	0	6
C14_S39_297_2	4.7	0	4
C14_S39_9_9	4.7	0	9
C14_S39_96_2	4.7	0	2
C14_S40_124_2	4.72	0	16
C14_S40_27_4	4.5	0	4
C14_S41_147_3	5	0	66
C14_S41_500_2	5	0	4
C14_S41_538_2	5	0	2
C14_S41_563_2	5	0	2
C14_S41_641_2	5	0	115
C14_S41_676_2	5.31	0	22
C14_S41_681_2	5	0	2
C14_S41_87_4	5	0	4
C14_S42_100_2	5.45	0	27
C14_S42_101_2	5.5	0	2
C14_S42_118_2	5.5	0	2
C14_S42_119_2	5.5	0	2
C14_S42_145_2	5.5	0	4
C14_S42_146_2	5.5	0	5
C14_S42_54_2	5.5	0	2
C14_S42_91_2	6	0	4
C14_S47_143_4	5.03	0	23
C14_S47_227_2	5.03	0	2
C14_S47_237_2	5.03	0	14
C14_S47_48_4	5.03	0	4
C15_S1_23_3	4.3	0	3
C15_S15_94_2	5.06	0	5
C15_S17_0_165	4	0	1041
C15_S17_281_2	4.01	0	2
C15_S18_0_322	3.7	0	1340
C15_S36_108_5	5.55	0	138
C15_S36_136_3	5.55	0	3
C16_S16_150_3	4.33	0	6
C16_S37_201_2	7.06	0	131
C16_S37_462_3	8.46	0	3
C16_S38_469_2	7.04	0	9
C16_S43_28_3	6.43	0	23
C16_S44_85_4	6.5	0	4
C16_S45_143_3	7.03	0	38
C16_S45_209_2	7.04	0	28
C16_S45_303_3	7	0	53
C17_S37_116_3	8.46	0	19
C18_S39_223_2	7.03	0	32
C18_S44_200_2	6.72	0	23
C18_S44_317_3	6.64	0	7
C18_S44_41_5	6.72	0	9
C19_S31_328_2	7.06	0	4
C2_S10_10_17	6.66	0	17
C2_S10_163_2	6.64	0	11818
C2_S10_165_2	6.49	0	343
C2_S11_147_2	7.9	0	614
C2_S13_102_4	8.18	0	776
C2_S19_1006_2	6.38	0	623
C2_S19_1010_2	6.29	0	483
C2_S19_1018_2	6.17	0	4
C2_S19_1028_2	6.17	0	4
C2_S19_1053_2	6.82	0	14
C2_S19_1056_6	6.17	0	21
C2_S19_1061_2	6.17	0	5
C2_S19_32_14	6.17	0	35
C2_S20_243_2	6.4	0	2
C2_S20_42_12	6.4	0	16
C2_S20_45_7	6.91	0	35
C2_S20_751_2	6.04	0	19
C2_S23_542_2	6.18	0	2
C2_S23_96_3	6.18	0	3
C2_S25_565_2	6.76	0	28
C2_S25_675_2	6.74	0	17
C2_S25_712_4	6.75	0	4
C2_S26_226_2	8.05	0	2
C2_S27_646_2	8.04	0	2
C2_S27_959_2	8.04	0	2
C2_S28_40_2	7.23	0	75
C2_S31_346_2	7.12	0	17
C2_S31_81_4	7.02	0	9
C2_S35_1_123	6.76	0	477
C2_S35_128_3	6.86	0	20
C2_S35_129_3	6.87	0	307
C2_S35_138_4	6.74	0	34
C2_S35_148_3	6.86	0	7
C2_S35_180_3	6.87	0	111
C2_S35_230_2	6.86	0	2
C2_S35_239_2	6.86	0	45
C2_S35_496_3	6.86	0	3
C2_S35_710_3	6.86	0	3
C2_S37_87_3	8.46	0	3
C2_S44_113_2	6.5	0	2
C2_S44_47_3	6.5	0	3
C2_S45_298_2	7	0	2
C2_S46_107_2	7.5	0	2
C2_S46_342_2	7.5	0	4
C2_S5_112_2	7.59	0	2
C3_S13_134_3	7.6	0	241
C3_S16_111_3	4.33	0	9
C3_S16_125_2	4.33	0	4
C3_S16_182_2	4.33	0	4
C3_S16_186_4	4.33	0	4
C3_S16_210_2	4.33	0	2
C3_S16_259_2	4.33	0	4
C3_S19_156_4	6.98	0	50
C3_S31_220_3	7.84	0	6
C3_S31_98_6	7.21	0	6
C3_S37_202_2	8.46	0	6
C3_S44_35_4	7.03	0	39
C3_S46_234_2	7.5	0	7
C3_S46_268_3	7.5	0	3
C3_S46_326_3	7.5	0	5
C3_S46_376_2	7.5	0	2
C4_S11_273_2	8.3	0	57
C4_S13_138_2	7.97	0	735
C4_S14_142_2	8.66	0	15
C4_S14_204_2	8.21	0	14
C4_S16_160_2	4.33	0	2
C4_S16_54_2	4.33	0	4
C4_S37_135_2	8.46	0	2
C4_S37_178_3	8.46	0	7
C4_S37_185_2	8.46	0	19
C4_S37_208_2	8.46	0	5
C4_S37_86_3	8.46	0	3
C4_S6_37_2	8.41	0	22
C5_S34_402_2	5.96	0	2
C6_S10_0_362	6.53	0	14338
C6_S10_24_23	6.66	0	32
C6_S10_273_2	6.66	0	2
C6_S10_368_2	6.66	0	2
C6_S11_92_4	8.06	0	4
C6_S26_504_2	6.91	0	50
C7_S10_105_3	6.67	0	55
C7_S10_195_2	4.39	0	55
